Name,Gender,Status,URL,History
Park Yong-sik,Male,Alive,https://squid-game.fandom.com/wiki/Park_Yong-sik,"Park Yong-sik was born to Jang Geum-ja and his unnamed father and grew up in the neighborhood of Bongcheon-dong. As an adult, Yong-sik became an immature and shameless gambler, racking up debts totaling ₩250 million, including a loan of ₩100 million borrowed from various loan sharks and a gambling den."
Player 241,Female,Dead,https://squid-game.fandom.com/wiki/Player_241_(33rd_Squid_Game),"Player 241 is deeply in debt and sees the high-stakes competition as a last chance to win a life-changing amount of money. Like many others in the game. After being recruited, she wakes up in a large, unfamiliar room with 455 other players. She signs a contract agreeing to the rules of the game and poses for a photo, officially entering the first game called Red Light, Green Light . Despite the initial chaos that ensued after the first game 's rules were revealed, including the shocking deaths of Player 324 and Player 250 , Player 241 managed to keep her composure. She ran strategically, making it to the finish line and successfully passing through the game."
Soldier (A Fair World),Male,Dead,https://squid-game.fandom.com/wiki/Soldier_(A_Fair_World),"In the 33rd Squid Game , this soldier was part of the organ trafficking ring and assisted Byeong-gi in extracting organs from eliminated players. One night, the soldiers told Byeong-gi that they don't know the next game, so Byeong-gi grew violent and held the other soldier at knife point. The soldier tried to convince Byeong-gi to wait, but to no avail; when Byeong-gi began stabbing the other soldier, he tried to defend by hitting Byeong-gi with a crowbar, but ultimately Byeong-gi escaped from the operating room and he had to chase after him."
Player 150,Female,Alive,https://squid-game.fandom.com/wiki/Player_150_(33rd_Squid_Game),"Player 150 was one of the 456 contestants who participated in the 33rd Squid Game held in 2020. While little is known about her personal life prior to entering the games, it is evident that she was struggling with a lot of financial debt. Sometime later, she was approached by The Recruiter , who offered her an invitation to participate in the 33rd Squid Game , presenting it as a chance to win a life-changing cash prize. And with no viable alternatives to resolve her financial problems, she accepted the offer."
Player 219,Male,Dead,https://squid-game.fandom.com/wiki/Player_219_(2024),Player 219 was in debt so he joined the The 2024 squid game . The first game was Red light green light everything was fine until Kang Mi-na and Lee Eun-ju got shot later Player 455 panicked then Player 371 got shot that made players start panicking to the doors he stayed still while the Players panicked after the initial scare player 219 hid behind someone and made it to the finish line. Next was Voting he voted to Continue the games . The next game was The Six-legged pentathlon he got in a team and completed all the 5 Minigames. Voting again he voted to Continue the games again. Next was Mingle He managed to survive mingle after getting in a room with the exact amount of people each round. Voting again and he voted to Continue . He didn't attend the Bathroom fight . He can be seen sneaking over to the X s side during Special Game.
Player 158,Male,Dead,https://squid-game.fandom.com/wiki/Player_158_(2024),"Player 158 was in heavy debt and chose to enter a high-risk competition to win money. After waking up in a large room with 454 (without 001) other people, he signed a contract and took his photo. He was took into the first game Red Light, Green Light where 91 people was shot to death, eventually he survived Six Legged Pentathlon and Mingle."
Im Jeong-dae,Male,Alive,https://squid-game.fandom.com/wiki/Im_Jeong-dae,"Presumably a businessman of significant repute, [ 1 ] Im Jeong-dae took out a loan totaling ₩10 billion won and was unable to convert it into profit, putting him in deep debt. With few options, he decided to participate in the Squid Games ."
Hwang Jun-ho,Male,Alive,https://squid-game.fandom.com/wiki/Hwang_Jun-ho,"Jun-ho was born in South Korea on September 13 1992, to Park Mal-soon and an unnamed father. He is the younger half-brother of In-ho , the two share a father. Both brothers became police officers, and it is likely that Jun-ho was inspired to become a police officer because of his brother.  At some point before 2015, In-ho donated one of his kidneys to Jun-ho, suggesting that Jun-ho suffered from a kidney condition some time prior to In-ho's entering of the 2015 games. [ 4 ] In 2015 In-ho participated in, and won, the 28th Squid Game , subsequently becoming less close with his younger brother and stepmother, only occasionally contacting them. In 2020, In-ho went missing, causing his stepmother to worry and send Jun-ho to check on him. After investigating In-ho's apartment and encountering Gi-hun at the police station, Jun-ho grows increasingly worried and begins his search for his brother."
Player 440 (2024),Female,Alive,https://squid-game.fandom.com/wiki/Player_440_(2024),"Player 440 was in large debt and decided to join the Squid Games . She woke up in a Dormitory along with 455 other players, she then proceeded sign a contract and take her photo. She survived the first game, Red Light, Green Light and voted O. She managed to survive the 2nd game, Six-Legged Pentathlon , and voted O again. She also survived Mingle and voted O for the third time."
Player 285,Male,Dead,https://squid-game.fandom.com/wiki/Player_285_(2024),"It can be assumed that as a player in the Squid Games, Player 285 entered in order to pay off debt. He managed to survive Red Light, Green Light . He was one of the players to beg for his life after the game, but changed his mind and voted O after seeing the Prize Money . In Six-Legged Pentathlon , he played Gonggi as part of Im Jeong-dae's team , surviving and remaining in his group after the game."
