History,Status
Player_3055 returned to daily life and avoided further attention from the organization.,Alive
Player_3055 was the victim of a misfire during a chaotic moment.,Dead
Player_6343 became uncooperative after the first challenge and was escorted out by staff.,Alive
Player_6343 was pushed off the bridge during a panic stampede.,Dead
An ally of Player_6900 provided cover during the marble game.,Alive
Player_6900 was the last to cross but never made it to the finish line.,Dead
"In a rare occurrence, Player_2685 was reassigned and not included in the rest of the sequence.",Alive
"Player_2685's body was not recovered, but his name was marked with a red X.",Dead
"At the vote, Player_8435 changed her mind and walked toward the exit.",Alive
A secret task failure led to Player_8435's silent removal.,Dead
Player_1183 was moved to the infirmary and wasn’t seen again among the players.,Alive
"After breaking formation, Player_1183 was shot for insubordination.",Dead
"Though scared, Player_4406 held on tightly during tug of war and survived.",Alive
"During the night watch, Player_4406 was killed silently.",Dead
Player_3976 reportedly stayed in the facility’s medical bay and did not rejoin the group.,Alive
Player_3976 suffered a breakdown mid-game and couldn’t continue.,Dead
"Though frail, Player_3334 gained sympathy from a younger player and was helped repeatedly.",Alive
A close-range duel resulted in Player_3334's death.,Dead
Player_7391 intentionally lost a game but was saved by a sympathetic opponent.,Alive
A critical error during Mingle caused Player_7391 to be removed.,Dead
Player_4867 pretended to faint and was taken out for medical evaluation.,Alive
"Though she was among the stronger players, Player_4867 did not return from the challenge.",Dead
"Because of a panic attack, Player_2602 was escorted out before the second game began.",Alive
Player_2602 suffered a breakdown mid-game and couldn’t continue.,Dead
"With no violation or conflict, Player_9962 quietly walked away during the reentry phase.",Alive
Player_9962 was shot during group punishment for breaking the rules.,Dead
"With no violation or conflict, Player_3965 quietly walked away during the reentry phase.",Alive
A critical error during Mingle caused Player_3965 to be removed.,Dead
"One of the few elders, Player_6331 managed to rest between games, preserving strength.",Alive
Player_6331 was the last to cross but never made it to the finish line.,Dead
"With no further sightings, it is assumed Player_8071 returned home after the early vote.",Alive
A rigged game caused Player_8071 to lose unfairly.,Dead
"On medical leave after the second game, Player_1172 was never reintroduced.",Alive
The wrong answer in a trivia game meant Player_1172's elimination.,Dead
A staff report notes Player_8052 was considered non-threatening and let go under supervision.,Alive
"Despite strategic play, Player_8052 made one fatal error.",Dead
"Player_5849 was among those who always stayed in the middle of the crowd, rarely drawing notice.",Alive
The bridge collapsed under Player_5849 during the crossing game.,Dead
The night fights were skipped in Player_5190's group due to malfunctioning lights.,Alive
"After miscommunication with teammates, Player_5190 was left behind.",Dead
"Despite the harsh conditions, Player_3053 found ways to avoid direct confrontation.",Alive
"An elder participant, Player_3053 couldn’t keep up during Red Light, Green Light.",Dead
"The final challenge had an odd number, and Player_2404 was benched.",Alive
"Player_2404 was overheard pleading with a teammate — after that, silence.",Dead
Player_8425 had an injured leg but was removed from the game before it escalated.,Alive
A failed alliance led to Player_8425 being backstabbed.,Dead
Player_1059 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
The last footage showed Player_1059 looking back before the sound cut out.,Dead
"On medical leave after the second game, Player_3555 was never reintroduced.",Alive
Player_3555 misread the game instructions and was immediately disqualified.,Dead
"During the team selection process, Player_2261 stepped aside and was not included.",Alive
Security footage showed Player_2261 breaking rules and they were removed.,Dead
Rain delayed a game long enough for Player_5402 to be pulled for medical testing.,Alive
"During a team loss, Player_5402 was counted among those who didn’t proceed.",Dead
Rain delayed a game long enough for Player_7551 to be pulled for medical testing.,Alive
A report from the control room listed Player_7551 as inactive following game three.,Dead
Player_8046 used earplugs during lights out to stay calm and awake.,Alive
The bridge collapsed under Player_8046 during the crossing game.,Dead
Player_6952 helped staff carry trays and stayed away from their group.,Alive
Player_6952 refused to play the final game and was removed immediately.,Dead
Player_4586 was exempted from the game due to age and health review.,Alive
Player_4586 was mistakenly marked as eliminated and taken out.,Dead
Player_3118 left the facility before the final round was announced.,Alive
"An elderly contestant, Player_3118 simply couldn’t keep up physically.",Dead
"Using leftover uniforms, Player_7119 posed as a cook and escaped.",Alive
"After a failed strategy, Player_7119 wasn't included in the post-game summary.",Dead
Player_9936 managed to avoid confrontation and was quietly removed from the group.,Alive
"Though confident in her plan, Player_9936 did not make it past the halfway point.",Dead
"With good social skills, Player_9508 avoided alliances and drama entirely.",Alive
Player_9508 failed to appear at breakfast the day after the fifth round.,Dead
Player_7103 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"Due to illness, Player_7103 fainted mid-challenge and was declared out.",Dead
"As the crowd rushed the doors, Player_5193 waited and avoided the stampede.",Alive
Player_5193 failed to complete the honeycomb challenge in time and was shot.,Dead
Player_8697 was last seen sitting calmly after voting to end the game.,Alive
One wrong move in a puzzle game cost Player_8697 their life.,Dead
"During lights out, Player_9224 hid beneath a bunk and avoided detection.",Alive
Player_9224 hesitated too long and was disqualified.,Dead
Player_9655 used sign language to stay quiet and unnoticed during night fights.,Alive
Player_9655 was pushed off the bridge during a panic stampede.,Dead
"Though scared, Player_8079 held on tightly during tug of war and survived.",Alive
"Player_8079 was overheard pleading with a teammate — after that, silence.",Dead
Player_2469 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"After a misstep during the game, Player_2469 was not included in the next team formation.",Dead
"Due to a clerical error, Player_9370 was removed from the participant list before Round 2.",Alive
Medical staff couldn’t reach Player_9370 in time after a critical injury.,Dead
Player_2771 was exempted from the game due to age and health review.,Alive
"Player_2771's body was not recovered, but his name was marked with a red X.",Dead
Player_1426 left the game facility after the first round and was never contacted again.,Alive
Player_1426 refused to play the final game and was removed immediately.,Dead
"While the dorm fight raged, Player_4711 barricaded themselves under beds.",Alive
Player_4711 was the victim of a misfire during a chaotic moment.,Dead
Player_6140 helped staff carry trays and stayed away from their group.,Alive
Player_6140 was mistakenly marked as eliminated and taken out.,Dead
Player_1036 became uncooperative after the first challenge and was escorted out by staff.,Alive
"After being seen arguing during the night shift, Player_1036 was never spotted again.",Dead
"Several players jumped ahead, and Player_7908 passed unnoticed in the confusion.",Alive
"After being blamed for a sabotage, Player_7908 was voted out and eliminated.",Dead
"After the honeycomb challenge, Player_8655 traded spots with someone else.",Alive
Player_8655 refused to play the final game and was removed immediately.,Dead
Player_8827 had a brother among the guards and was quietly removed from the trials.,Alive
Player_8827 triggered a trap mechanism during a solo challenge.,Dead
"On medical leave after the second game, Player_2686 was never reintroduced.",Alive
"While others moved forward, Player_2686 stayed still and never reappeared.",Dead
Guards let Player_5384 go after finding a letter from their child.,Alive
"There were no formal announcements, but Player_5384's bed was cleared that night.",Dead
"While everyone else panicked, Player_8842 calmly followed instructions and survived unnoticed.",Alive
Player_8842 was among those grouped near the danger zone when the lights went out.,Dead
"Player_3578 was among those who always stayed in the middle of the crowd, rarely drawing notice.",Alive
Others reported seeing Player_3578 hesitate mid-way through the path. He didn't continue.,Dead
Player_4546 was exempted from the game due to age and health review.,Alive
A miscalculated jump caused Player_4546 to fall short in a challenge.,Dead
Player_2733 used sign language to stay quiet and unnoticed during night fights.,Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_2733.",Dead
"The final challenge had an odd number, and Player_5729 was benched.",Alive
"An elderly contestant, Player_5729 simply couldn’t keep up physically.",Dead
The guards mistook Player_9498 for an admin during a uniform swap.,Alive
"While defending another, Player_9498 took a fatal blow.",Dead
"Though scared, Player_2282 held on tightly during tug of war and survived.",Alive
A critical error during Mingle caused Player_2282 to be removed.,Dead
"After a confrontation during dinner, Player_5400 vanished from the dormitory with no explanation.",Alive
Player_5400 refused to play the final game and was removed immediately.,Dead
"After the second round, Player_8151 was found unconscious but alive in a corner.",Alive
A teammate betrayed Player_8151 during the marble game.,Dead
"Known for their quick reflexes, Player_7559 managed to survive the more dangerous challenges.",Alive
Security footage showed Player_7559 attempting something risky near the edge of the platform.,Dead
Rain delayed a game long enough for Player_1960 to be pulled for medical testing.,Alive
The marble game ended with Player_1960 losing and being shot.,Dead
A ventilation error kept Player_5332 in quarantine while others proceeded.,Alive
"According to participants, Player_5332 stepped forward too soon and didn't make it through.",Dead
"One of the few elders, Player_6340 managed to rest between games, preserving strength.",Alive
"When questioned, Player_6340 lied to staff and faced elimination.",Dead
"Known for their quick reflexes, Player_2788 managed to survive the more dangerous challenges.",Alive
Player_2788 refused to play a violent round and was removed.,Dead
Rumors suggest Player_2523 boarded one of the black vans heading away from the island.,Alive
